topic,book
graph theory,Algebraic graph theory
graph theory,Graph theory
graph theory,Pearls in graph theory
graph theory,Algebraic graph theory
graph theory,Extremal graph theory
graph theory,Pearls in graph theory
graph theory,Theory of graphs
graph theory,Discrete mathematics with combinatorics and graph theory
graph theory,Applied and algorithmic graph theory
graph theory,Computational discrete mathematics
graph theory,Graph theory
graph theory,Introduction to graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Modern graph theory
graph theory,Friendly introduction to graph theory
graph theory,Modern graph theory
graph theory,Algebraic graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Discrete mathematics
graph theory,Discrete mathematics
graph theory,Discrete mathematics
graph theory,Discrete mathematics
graph theory,Discrete mathematics
graph theory,Algorithmic graph theory
graph theory,Graph theory applications
graph theory,"Field theory, the renormalization group and critical phenomena"
graph theory,Graph theory and Its applications
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Algorithmic graph theory
graph theory,Introduction to graph theory
graph theory,Theory and problems of graph theory
graph theory,Applied and algorithmic graph theory
graph theory,Theory and problems of computer graphics
graph theory,Applied and algorithmic graph theory
graph theory,Applied and algorithmic graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Introduction to graph theory
graph theory,Introductory graph theory
graph theory,Introductory graph theory
graph theory,Graph theory and Its applications
graph theory,Graph theory
graph theory,Principles of computer graphics
graph theory,Discrete mathematics and graph theory
graph theory,Graph theory as I have known it
graph theory,Invitation to graph theory
graph theory,Discrete structures and graph theory
graph theory,Discrete mathematics with graph theory
graph theory,Introduction to graph theory
graph theory,Graph theory
graph theory,Discrete mathematics and graph theory
graph theory,Schaum's outline of theory and problems computer graphics
graph theory,Discrete mathematics and graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Introduction to graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Introduction to graph theory
graph theory,Graph theory
graph theory,Graph theory
graph theory,Discrete structures and graph theory
graph theory,Introduction to graph theory
graph theory,Theory and problems of graph theory
graph theory,Introduction to graph theory
graph theory,Discrete mathematics and its applications
graph theory,Discrete mathematics and its applications
graph theory,Discrete mathematics and its applications
graph theory,Internal-combustion engine in theory and practice. VOL 1
graph theory,Near rings fuzzy ideals and graph theory
graph theory,Applications of combinatorial matrix theory to laplacian matrices of graphs
graph theory,Introduction to graph theory
graph theory,Six Sigma for Organizational Excellence
graph theory,Graphs & digraphs
graph theory,Physics of nanoelectronics
graph theory,Encyclopedia of Distances
graph theory,Algebras graphs and their applications
graph theory,Quantitative graph theory
graph theory,Handbook of graph theory combinatorial optimization and algorithms
graph theory,Graph theory
graph theory,Graph theory
graph theory,Transport phenomena fundamentals
graph theory,Knots molecules and the universe
graph theory,Winding around
graph theory,Introduction to graph theory
graph theory,Decision making in the manufacturing environment VOL.1
graph theory,Philosophy of the arts
graph theory,Quantum theory from first principles
graph theory,Decision making in the manufacturing environment using graph theory and fuzzy multiple attribute decision making methods VOL. 2
graph theory,Theory of randomized search heuristics
graph theory,Quantum theory from first principles :
graph theory,Mathematics for the life sciences
graph theory,Advanced topics in mathematical analysis
machine learning,Machine learning
machine learning,Introduction to support vector machines
machine learning,Machine learning with SVM and other Kernel methods
machine learning,Machine tool practices
machine learning,Pattern recognition and machine learning
machine learning,Introduction to machine learning and bioinformatics
machine learning,Machine design
machine learning,Neural networks and learning machines
machine learning,Learning machine translation
machine learning,Pattern recognition and machine learning
machine learning,Data mining
machine learning,"Genetic algorithms in search, optimization, and machine learning"
machine learning,Machine learning and data mining for computer security
machine learning,Simulations of machines
machine learning,"Genetic algorithms in search, optimization, and machine learning"
machine learning,Introduction to machine learning
machine learning,Machine tool practices
machine learning,Building machine learning systems with python
machine learning,Machine learning for hackers
machine learning,Gaussian processes for machine learning
machine learning,Introduction to machine learning
machine learning,Learning with kernels
machine learning,Data mining
machine learning,Machine learning
machine learning,"Adaptation, learning, and optimization over networks"
machine learning,Understanding machine learning
machine learning,Machine learning
machine learning,Bayesian reasoning and machine learning
machine learning,Latest advances in inductive logic programming
machine learning,Cultural foundations of learning
machine learning,Doing interview based qualitative research
machine learning,Cambridge handbook of cognitive science
machine learning,Bayesian programming
machine learning,Bayesian programming
machine learning,Outside edge
machine learning,Neural networks and learning machines
machine learning,Truth or truthiness
machine learning,Computing universe
machine learning,Quantum computing since democritus
machine learning,Signal transduction
machine learning,Electrical machines
machine learning,Deep learning
machine learning,First course in machine learning
machine learning,Film art
machine learning,Hands on machine learning with scikit learn and tensorflow
machine learning,Elements of statistical learning
machine learning,Data mining
machine learning,Machine learning
machine learning,Deep learning :
machine learning,Applied text analysis with python
machine learning,From matter to life :
machine learning,Machine learning with Python cookbook :
machine learning,Cyberpsychology :
mathematical logic,Tour through mathematical logic
mathematical logic,Course on mathematical logic
mathematical logic,Mathematical logic
mathematical logic,Mathematical aspects of logic programming semantics
mathematical logic,Mathematical logic
mathematical logic,Course in mathematical logic for mathematicians
mathematical logic,Mathematical logic and the foundations of mathematics
mathematical logic,Mathematical logic for computer science
mathematical logic,Mathematical logic
mathematical logic,Concise introduction to mathematical logic
mathematical logic,Introduction to mathematical logic
mathematical logic,Mathematical logic for computer science
mathematical logic,What is mathematical logic?
mathematical logic,Mathematical introduction to logic
mathematical logic,Mathematical logic for computer science
mathematical logic,Mathematical logic for computer science
mathematical logic,Classical and fuzzy concepts in mathematical logic and applications
mathematical logic,Mathematical logic for computer science
mathematical logic,Mathematical logic for computer science
mathematical logic,Mathematical logic for computer science
mathematical logic,Mathematical introduction to logic
mathematical logic,Mathematical introduction to logic
mathematical logic,Beginners guide to mathematical logic
mathematical logic,Computational methods for physics
mathematical logic,Formalism and beyond
mathematical logic,Abstract sets and finite ordinals
mathematical logic,Logic computation hierarchies
mathematical logic,Chance strategy and choice
mathematical logic,Elements of logical reasoning
mathematical logic,Introduction to mathematical logic
mathematical logic,Principia mathematica VOL. 3
mathematical logic,Tractatus logico philosophicus
mathematical logic,Discrete mathematics and its applications
mathematical logic,Bridge to higer mathematics
mathematical logic,Thinking about godel and turing
mathematical logic,Building proofs :
mathematical logic,Picturing quantum processes :
mathematical logic,Mathematical logic and theoretical computer science
Natural Language Processing,Ontology and the lexicon
Natural Language Processing,Graph based natural language processing and information retrieval
Natural Language Processing,Natural language processing and information retrieval
Natural Language Processing,Speech and language processing
Natural Language Processing,Natural language processing
Natural Language Processing,Natural language processing
Natural Language Processing,Cambridge handbook of biolinguistics
Natural Language Processing,Text Mining With MATLAB
Natural Language Processing,Computing universe
Natural Language Processing,Natural language processing and computational linguistics
Natural Language Processing,Social media content analysis :
Networking,Data communications and networking
Networking,Mathematical foundations of computer networking
Networking,Wireless mobile networking with ANSI-41
Networking,Game theory for wireless communications and networking
Networking,Bioinspired computing and networking
Networking,Hands-on networking
Networking,Computer communications and networking technologies
Networking,Data communications and networking
Networking,Handbook of networking
Networking,"3G, HSPA and FDD versus TDD networking"
Networking,Computer networking
Networking,Implementing 802.11 with microcontrollers
Networking,Networking
Networking,Nanotechnology applications to telecommunications and networking
Networking,Wireless communications and networking
Networking,Computer networking
Networking,Ethernet networking for the small office and professional home office
Networking,Networking wireless sensors
Networking,Supply chain architecture
Networking,Communications and networking
Networking,Business data communications and networking
Networking,Introduction to multimedia communications
Networking,Wireless communications and networking
Networking,Ambient networks
Networking,Mobile inter-networking with IPv6
Networking,Best of the best
Networking,Networking approach to grid computing
Networking,Guide to networking essentials
Networking,Hands-on microsoft windows server 2003 networking
Networking,McGraw-Hill encyclopedia of networking and telecommunications
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Internet programming with JAVA 2 platform
Networking,Networking in easy steps
Networking,Encyclopaedia of information technology for schools. VOL 3
Networking,Networking for dummies
Networking,Internet programming with JAVA 2 platform
Networking,Theory and problems of computer networking
Networking,Red hat linux networking and system administration
Networking,Engineering approach to computer networking
Networking,Communication networking
Networking,Content networking
Networking,Communication networking
Networking,Effective networking
Networking,Book of WI-FI
Networking,Red hat linux networking and system administration
Networking,High performance TCP/IP networking
Networking,Wireless communications and networking
Networking,UNIX network programming. VOL 1
Networking,Theory and problems of computer networking
Networking,Data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Introduction to data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,Computer networking
Networking,UNIX network programming. VOL 1
Networking,Computer networking
Networking,Data communications and networking
Networking,Data communications and networking
Networking,Engineering approach to computer networking
Networking,Engineering approach to computer networking
Networking,Networking and internetworking with microcontrollers
Networking,Industrial ethrnet networking guide
Networking,Wireless communications and networking
Networking,UNIX network programming. VOL 1
Networking,Multimedia information networking
Networking,Introduction to computer networking
Networking,Red hat linux networking and system administration
Networking,Networking
Networking,Internet book
Networking,Engineering approach to computer networking
Networking,Data communications and networking
Networking,Theory and problems of computer networking
Networking,Computer networking with internet protocols and technology
Networking,Computer networking
Networking,"Practical guide to networking with unix,dos and windows"
Networking,Comdex hardware and networking
Networking,Data communications and networking
Networking,Computer networking
Networking,Computer networking
Networking,UNIX network programming. VOL 1
Networking,UNIX network programming. VOL 1
Networking,UNIX network programming. VOL 1
Networking,Wireless communications and networking
Networking,Underwater acoustic networking techniques
Networking,Data communications and networking
Networking,Computer networking
Networking,Content networking
Networking,Digital signal processing handbook
Networking,Stable throghput regions in wireless networks
Networking,Fundamentals of diffusion based molecular communication in nanonetworks
Networking,Quality of service in heterogeneous networks
Networking,End to end adaptive congestion control in TCP/IP networks
Networking,Scalability density and decision making in cognitive wireless networks
Networking,Handbook of personal area networking technologies and protocols
Networking,Opportunistic mobile social networks
Networking,Networking for big data
Networking,Introduction to computer networks and cybersecurity
Networking,Facebook effect
Networking,Mobile ad hoc networking :
Networking,Mobile ad hoc networking
Networking,Head first C
Networking,Wireless sensor networks
Networking,Computer networking
Networking,Computer networking
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Understanding operating systems
Operating Systems,Guide to operating systems security
Operating Systems,Operating systems
Operating Systems,Distributed operating systems and algorithms
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Understanding operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems and systems programming
Operating Systems,Introduction to operating systems
Operating Systems,Advanced concepts in operating systems
Operating Systems,Operating systems
Operating Systems,Introduction to operating systems
Operating Systems,Distributed operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems and systems programming
Operating Systems,Introduction to operating systems
Operating Systems,Modern operating systems
Operating Systems,Distributed operating systems
Operating Systems,Introduction to operating systems
Operating Systems,Operating systems
Operating Systems,Systems programming and operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Advanced concepts in operating systems
Operating Systems,Distributed operating systems
Operating Systems,Operating systems
Operating Systems,Operating systems
Operating Systems,Graphs & digraphs
Operating Systems,Smartphone energy consumption
Operating Systems,Guide to experimental algorithmics
Operating Systems,Quantitative graph theory
Operating Systems,Modern operating systems
Operating Systems,Developing software for Symbian OS
Operating Systems,Introduction to operating systems
Operating Systems,Network programmability and automation :
Operating Systems,Introduction to modern cryptography
Robotics,Fundamentals of robotics
Robotics,Wired for war
Robotics,"Robotics, vision and control"
Robotics,Simulation for supply chain management
Robotics,Introduction to robotics
Robotics,Theory of applied robotics
Robotics,Robotics
Robotics,Dynamics and robust control of robot - environment interaction
Robotics,Computational principles of mobile robotics
Robotics,Geometric fundamentals of robotics
Robotics,Theory of applied robotics
Robotics,Geometric fundamentals of robotics
Robotics,Textbook on industrial robotics
Robotics,"Robotics, mechatronics, and artificial intelligence"
Robotics,"Robot manipulators modeling, performance analysis and control"
Robotics,Industrial robotics
Robotics,Robotics
Robotics,CAD/CAM robotics and factories of the future
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Industrial robotics
Robotics,Introduction to robotics
Robotics,Robotics technology and automation
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,"Introduction to robotics analysis, systems, applications"
Robotics,Introduction to robotics
Robotics,Introduction to robotics
Robotics,Introduction to robotics
Robotics,"Introduction to robotics analysis, systems, applications"
Robotics,Introduction to robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics technology and automation
Robotics,Robotics technology and automation
Robotics,Robotics technology and automation
Robotics,Robotics technology and automation
Robotics,Robotics technology and automation
Robotics,Industrial robotics
Robotics,Robots and screw theory
Robotics,Introduction to AI robotics
Robotics,Foundations of robotics
Robotics,Introduction to AI robotics
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,Fundamentals of robotics
Robotics,Fundamentals of robotics
Robotics,Fundamentals of robotics
Robotics,Fundamentals of robotics
Robotics,Fundamentals of robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Robotics
Robotics,Industrial robotics
Robotics,Industrial robotics
Robotics,Industrial robotics
Robotics,Industrial robotics
Robotics,Industrial robotics
Robotics,Industrial robotics
Robotics,Robotics and control
Robotics,Robotics and control
Robotics,"CAD, CAM, Robotics and factories of the future Vol 2"
Robotics,"CAD, CAM, Robotics and factories of the future Vol 3"
Robotics,"CAD, CAM, Robotics and factories of the future"
Robotics,Fundamenals of robotics
Robotics,Robotics
Robotics,Industrial robotics
Robotics,Computational Intelligence in Digital Forensics
Robotics,Structural synthesis of parallel robots
Robotics,Computer vision in robotics and industrial applications
Robotics,Humanoid robotics and neuroscience
Robotics,Robotics primer
Robotics,Self reconfigurable robots
Robotics,Sublime dreams of living machines
Robotics,Introduction to autonomous mobile robots
Robotics,Embedded systems and robotics with open source tools
soft computing,Artificial intelligence and soft computing
soft computing,Pattern recognition algorithms for data mining
soft computing,Grid computing
soft computing,Grid computing
soft computing,Hybrid intelligent systems for pattern recognition using soft computing
soft computing,Fuzzy control
soft computing,Intelligent multimedia processing with soft computing
soft computing,Soft computing in software engineering
soft computing,Neuro-Fuzzy and soft computing
soft computing,Neuro-Fuzzy and soft computing
soft computing,Neuro-Fuzzy and soft computing
soft computing,Real life applications of soft computing
soft computing,Conversations about challenges in computing
soft computing,Handbook of personal area networking technologies and protocols
soft computing,Data flow analysis
soft computing,Soft computing in electromagnetics
soft computing,Computing universe
soft computing,Designing connected products
soft computing,Artificial intelligence and soft computing for beginners
soft computing,Handbook of parallel computing :
soft computing,Introduction to soft computing :
soft computing,Soft computing
theory of computation,Handbook of computational group theory
theory of computation,Knowledge in formation
theory of computation,Algorithms and theory of computation handbook
theory of computation,Algorithms and theory of computation handbook
theory of computation,Theory and computation of hydrodynamic stability
theory of computation,Theory of computation
theory of computation,Elements of computation theory
theory of computation,Reconfigurable computing
theory of computation,Introducing the theory of computation
theory of computation,Theory of computation
theory of computation,Introduction to languages and the theory of computation
theory of computation,Relativistic quantum theory of atoms and molecules
theory of computation,Elements of the theory of computation
theory of computation,Elements of the theory of computation
theory of computation,Computational chemistry
theory of computation,Relativistic quantum theory of atoms and molecules
theory of computation,Fundamentals of the theory of computation
theory of computation,Computational chemistry
theory of computation,Fundamentals of the theory of computation
theory of computation,Theory of computation
compiler theory,Data flow analysis
compiler theory,Head first C
computational physics,Computational physics
computational physics,Survey of computational physics
computational physics,Computational physics
computational physics,First course in computational physics
computational physics,Computational methods in plasma physics
computational physics,Computational physics
computational physics,Computational physics
computational physics,"Quantum wells, wires and dots"
computational physics,Computational physics of carbon nanotubes
computational physics,Computational physics
computational physics,Computational physics
computational physics,Computational physics
computational physics,Computational physics
computational physics,Introduction to computational physics
computational physics,Introduction to computational physics
computational physics,Nonlinear dynamics and computational physics
computational physics,Nonlinear dynamics and computational physics
computational physics,First course in computational physics and object- oriented programming with C++
computational physics,First course in computational physics and object- oriented programming with C++
computational physics,Computational methods in physics and engineering
computational physics,First course in computational physics
computational physics,First course in computational physics
computational physics,Computational nuclear physics two
computational physics,Introduction to numerical electrostatics using MATLAB
computational physics,Computational methods for physics
computational physics,Spectral Methods in Chemistry and Physics
computational physics,Advanced Mathematical Methods for Scientists and Engineers I
computational physics,Advanced Mathematical Methods for Scientists and Engineers I
computational physics,Encyclopedia of Distances
computational physics,Experimental Methods for the Analysis of Optimization Algorithms
computational physics,Harmonic Analysis of Spherical Functions on Real Reductive Groups
computational physics,Introduction to conformal field theory
computational physics,Computational strong field quantum dynamics :
computational physics,Protein geometry classification topology and symmetry :
computer graphics,Computer graphics
computer graphics,Computer graphics and geometric modeling
computer graphics,Computer graphics with openGL
computer graphics,"Mathematical foundations of scientific visualization, computer graphics, and massive data exploration"
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics for Java programmers
computer graphics,Mathematics for computer graphics
computer graphics,Principles of interactive computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Theory and problems of computer graphics
computer graphics,"Computers, pattern, chaos, and beauty"
computer graphics,Principles of computer graphics
computer graphics,Mathematics for computer graphics
computer graphics,Geometry for computer graphics
computer graphics,Mathematical and computer programming techniques for computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Schaum's outline of theory and problems computer graphics
computer graphics,Computer graphics
computer graphics,Geometric tools for computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Procedural elements for computer graphics
computer graphics,Procedural elements for computer graphics
computer graphics,Procedural elements for computer graphics
computer graphics,Procedural elements for computer graphics
computer graphics,Procedural elements for computer graphics
computer graphics,Computer graphics
computer graphics,Introduction to computer graphics
computer graphics,Interactive computer graphics
computer graphics,Introduction to splines for use in computer graphics and geometric modelling
computer graphics,Computer graphics
computer graphics,Computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Mathematical elements for computer graphics
computer graphics,Integrated introduction to computer graphics and geometric modeling
computer graphics,Fluid simulation for computer graphics
computer graphics,Fluid simulation for computer graphics /
computer graphics,Practical linear algebra
computer graphics,When life is linear
computer graphics,3D game environments
computer graphics,Texts in statistical science :
computer graphics,Pharmaceutical statistics :
concurrency,Modeling embedded systems and SOCs
concurrency,Java 8 lambdas
concurrency,Thinking in Java
concurrency,Clean code
data mining,Data mining methods for the content analyst
data mining,"Data mining in biomedical imaging, signaling, and systems"
data mining,Data mining
data mining,Knowledge discovery from data streams
data mining,Data mining and knowledge discovery with evolutionary algorithms
data mining,Data mining
data mining,Relational data clustering
data mining,Data mining for business intelligence
data mining,Applied data mining
data mining,Pattern recognition algorithms for data mining
data mining,Intelligent data mining
data mining,"Data warehousing, data mining, and OLAP"
data mining,Fundamentals of data mining in genomics and proteomics
data mining,Large-scale parallel data mining
data mining,Mining the web
data mining,Data mining techniques
data mining,Data mining techniques
data mining,Data mining techniques
data mining,Data mining techniques
data mining,Mining the web
data mining,Data mining in bioinformatics
data mining,Building data mining applications for CRM
data mining,Data mining
data mining,Mining sequential patterns from large data sets
data mining,Machine learning and data mining for computer security
data mining,Data mining with computational intelligence
data mining,Agent intelligence through data mining
data mining,Clustering for data mining
data mining,Mastering data mining
data mining,Fuzzy modeling and genetic algorithms for data mining and exploration
data mining,Data mining and knowledge discovery handbook
data mining,Introduction to data mining
data mining,Data mining
data mining,Visual data mining
data mining,Insight into data mining
data mining,Data mining
data mining,Data mining
data mining,Data mining
data mining,Principles of data mining
data mining,Mastering data mining
data mining,Data mining
data mining,Mastering data mining
data mining,Data mining techniques
data mining,Data mining
data mining,Data mining techniques
data mining,Introduction to data mining
data mining,Data mining
data mining,Introduction to data mining
data mining,Web data mining
data mining,Data mining
data mining,Mining of massive datasets
data mining,Realtime data mining
data mining,Big data mining and analytics
data mining,Computational business analytics
data mining,Getting a big data job for dummies
data mining,Text Mining With MATLAB
data mining,Big data computing
data mining,Mining of data with complex structures
data mining,Advanced data mining techniques
data mining,Doing data science
data mining,First course in machine learning
data mining,Big data management and processing
data mining,Data science and analytics with python
data mining,Elements of statistical learning
data mining,Data mining
data mining,Handbook of parallel computing :
data mining,Loss data analysis :
distributed computing,Distributed computing
distributed computing,Grid and distributed computing
distributed computing,Distributed computing
distributed computing,Elements of distributed computing
distributed computing,Distributed and parallel systems
distributed computing,Distributed computing
distributed computing,Distributed and cloud computing
distributed computing,Web data management
distributed computing,Handbook of parallel computing :
formal semantics,Algorithms and complexity VOL. A
formal semantics,Formal models and semantics VOL. B
image processing,Handbook of medical image processing and analysis
image processing,Sparse and redundant representations
image processing,Essential guide to image processing
image processing,Bezier and splines in image processing and machine vision
image processing,Mathematical image processing
image processing,Parallel image processing
image processing,Sparse image and signal processing
image processing,Digital image processing and computer vision
image processing,Image processing for remote sensing
image processing,Image sensors and signal processing for digital still cameras
image processing,Medical image analysis methods
image processing,Advanced image processing in magnetic resonance imaging
image processing,"Medical image processing, reconstruction and restoration"
image processing,"Digital image sequence processing, compression, and analysis"
image processing,Remote sensing
image processing,Digital signal processing using MATLAB
image processing,Digital signals
image processing,Electrical engineering handbook
image processing,Image processing technologies
image processing,Biomedical signal and image processing
image processing,Color image processing
image processing,Fuzzy models and algorithms for pattern recognition and image processing
image processing,Spectral analysis
image processing,Digital signal and image processing using MATLAB
image processing,Digital image processing
image processing,Biosignal and biomedical image processing
image processing,Random processes for image and signal processing
image processing,Signals and image processing sourcebook
image processing,Digital signal and image processing
image processing,Image processing
image processing,Fundamentals of digital image processing
image processing,Fundamentals of digital image processing
image processing,Fundamentals of digital image processing
image processing,Image processing and jump regression analysis
image processing,Digital image processing using matlab
image processing,Digital image processing using MATLAB
image processing,Digital image processing
image processing,Fundamentals of electronic image processing
image processing,Computer Imaging
image processing,Fundamentals of digital image processing
image processing,Nonlinear filters for image processing
image processing,Digital image processing
image processing,Digital image processing
image processing,Digital image processing
image processing,Computer processing of remotely-sensed images
image processing,Digital image processing
image processing,Digital image processing
image processing,"Image processing, analysis, and machine vision"
image processing,Random processes for image and signal processing
image processing,Fundamentals of electronic image processing
image processing,Digital image processing
image processing,Fundamentals of digital image processing
image processing,Digital image processing and analysis
image processing,Digital image processing
image processing,Fundamentals of digital image processing
image processing,Digital image processing
image processing,Digital image processing and analysis
image processing,Biomedical signal and image processing
image processing,Digital image processing for medical applications
image processing,Conversational Informatics
image processing,Introduction to digital image processing
image processing,Microarray image and data analysis
image processing,Geometric methods in signal and image analysis
image processing,Systematic program design
image processing,Gender technology relations
image processing,Biosignal processing
image processing,Digital image processing
image processing,Evolution cognition and performance
image processing,Design for embedded image processing on FPGAS
image processing,Design for embedded image processing on FPGAS
image processing,Digital image processing
information retrieval,Information retrieval
information retrieval,Graph based natural language processing and information retrieval
information retrieval,Natural language processing and information retrieval
information retrieval,Introduction to information retrieval
information retrieval,Information storage and retrieval systems
information retrieval,Information storage and retrieval systems
information retrieval,Modern information retrieval
information retrieval,Modern information retrieval
information retrieval,Geometry of information retrieval
information retrieval,Applied informetrics for information retrieval research
information retrieval,Information retrieval
information retrieval,Introduction to information retrieval
information retrieval,Semantic knowledge representation for information retrieval
information retrieval,Encyclopedia of Distances
information retrieval,Defining digital humanities
information retrieval,Advancing digital humanities
information retrieval,HyperCities
information retrieval,Big data management and processing
information retrieval,Introduction to information retrieval
information retrieval,Multimedia ontology
parallel computing,Applied parallel computing
parallel computing,Introduction to parallel computing
parallel computing,Distributed and parallel systems
parallel computing,Sourcebook of parallel computing
parallel computing,Parallel computing
parallel computing,Introduction to parallel computing
parallel computing,Introduction to parallel computing
parallel computing,Sourcebook of parallel computing
parallel computing,Elements of parallel computing
parallel computing,Parallel computing
parallel computing,Parallel computing
parallel computing,Elements of parallel computing
parallel computing,Introduction to parallel computing
parallel computing,Introduction to parallel computing
parallel computing,Distributed and cloud computing
parallel computing,Algorithms and parallel computing
parallel computing,Handbook of parallel computing :
programming language pragmatics,Programming language pragmatics
programming language pragmatics,Programming language pragmatics
programming language pragmatics,Programming language pragmatics
programming language pragmatics,Programming language pragmatics
programming language pragmatics,Programming language pragmatics
programming language theory,Introduction to the theory of programming languages
programming language theory,Head first C
relational databases,Inside relational databases
relational databases,Guided tour of relational databases and beyond
relational databases,Relational databases
relational databases,Relational databases
relational databases,Relational databases
relational databases,Fundamentals of relational databases
structured storage,Software essentials
symbolic computation,Computer algebra and symbolic computation
symbolic computation,Logic computation hierarchies
symbolic computation,Thinking about godel and turing
symbolic computation,Picturing quantum processes :
type theory,Fixed point theory for lipschitzian-type mappings with applications
type theory,Indian asceticism
type theory,Basic lie theory
type theory,Principles of discrete time mechanics
type theory,Analysis and Design of Singular Markovian Jump Systems
type theory,Microarray image and data analysis
type theory,Fundamentals of matrix analytic methods
type theory,Harmonic Analysis of Spherical Functions on Real Reductive Groups
type theory,Mind at play
type theory,Theory of randomized search heuristics
type theory,Mind at play
type theory,From matter to life :
type theory,Advanced topics in mathematical analysis
algorithms and data structures,Data structures and algorithms using C
algorithms and data structures,Data structures and algorithms in Java
algorithms and data structures,Data structures and algorithms using C#
algorithms and data structures,Algorithms and data structures in C++
algorithms and data structures,Algorithms and data structures
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Algorithms and data structures in C++
algorithms and data structures,Algorithms and data structures
algorithms and data structures,Data structures and algorithms in Java
algorithms and data structures,Algorithms and data structures in C++
algorithms and data structures,Algorithms and data structures
algorithms and data structures,Data structures and algorithms using c
algorithms and data structures,"Data structures, algorithms, and applications in Java"
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms
algorithms and data structures,Data structures and algorithms in C++
algorithms and data structures,"Data structures, algorithms, and applications in C++"
algorithms and data structures,Algorithms+ data structures = programs
algorithms and data structures,Data structures and algorithms in C ++
algorithms and data structures,Introduction to data structures and algorithms
algorithms and data structures,Data structures and algorithms made easy in JAVA
algorithms and data structures,Introduction to cryptography
algorithms and data structures,Genome scale algorithm design
